PUID,ACCENUMB,CROPNAME,COLLMISSID,COLLNAME,COLLCODE,COLLINSTADDRESS,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,ACCENAME,SAMPSTAT,ANCEST,COLSRC,DONORNAME,DUPLINSTNAME,MLSSTAT
10.18730/64PCX,17143,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Shewa, Oromia Administrative State, North Shewa (K4) Zone, 50 km N of Addis Ababa on Kombolcha road; near Sendefa",9.15,39.0333,2623,9/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64PEZ,17145,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Shewa, Oromia Administrative State, North Shewa (K4) Zone, 50 km N of Addis Ababa on Kombolcha road; near Sendefa",9.15,39.0333,2623,9/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64PH$,17148,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Arsi, Oromia Administrative State, Arsi Zone, 30 km S of Nazaret on Asella road",8.3,39.3167,1708,10/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64PW8,17159,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Kefa, Oromia Administrative State, Jimma Zone, 25 km NE of Jimma on Agoro road",7.81667,36.6833,2440,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Q8M,17171,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ERI,"Asmara, Anseba Region, Asmara City District, Melotti Brewery; Asmara",15.3333,38.9333,NULL,6/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64QT1,17189,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Harerge, Dire Dawa Administrative State, Dire Dawa Zone, ",9.58333,41.8667,NULL,5/17/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64RAH,17205,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Harerge, Dire Dawa Administrative State, Dire Dawa Zone, ",9.58333,41.8667,NULL,5/17/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64RQY,17218,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Shewa, Oromia Administrative State, East Shewa Zone, Southeast slope of Mt. Yerrer; approx. 15 km NW of Debre Zeit",8.83333,38.9667,2684,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64RRZ,17219,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Shewa, Oromia Administrative State, East Shewa Zone, Southeast slope of Mt. Yerrer; approx. 15 km NW of Debre Zeit",8.83333,38.9667,2684,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64S9B,17236,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Shewa, Oromia Administrative State, North Shewa (K4) Zone, 23 km NW of Fiche junction",9.73333,38.8,3087,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SBD,17238,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Shewa, Oromia Administrative State, North Shewa (K4) Zone, 23 km NW of Fiche junction",9.73333,38.8,3087,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SCE,17239,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Shewa, Oromia Administrative State, North Shewa (K4) Zone, 23 km NW of Fiche junction",9.73333,38.8,3087,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SMP,17247,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Gonder, Amhara Administrative State, North Gonder Zone, 20 km NE of Gondar",12.7333,37.5167,2696,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SNQ,17248,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Gonder, Amhara Administrative State, North Gonder Zone, 20 km NE of Gondar",12.7333,37.5167,2696,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SQS,17250,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Gonder, Amhara Administrative State, North Gonder Zone, 66 km NE of Gondar",13,37.7833,2763,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64SY*,17257,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Gonder, Amhara Administrative State, North Gonder Zone, 100 km NE of Gondar; near Debark",13.15,37.9,2733,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64T30,17262,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Tigray, Tigray Administrative State, Central Tigray Zone, 353 km NE of Gondar; near Aksum",14.1333,38.7167,2257,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64TA7,17269,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Shewa, Amhara Administrative State, North Shewa (K3) Zone, 210 km S of Kombolcha; near Debre Sina tunnel",9.83333,39.7167,3111,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64TC9,17271,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Shewa, Amhara Administrative State, North Shewa (K3) Zone, 210 km S of Kombolcha; near Debre Sina tunnel",9.83333,39.7167,3111,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64TEB,17273,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Arsi, Oromia Administrative State, Arsi Zone, Simba; near Asella",7.95,39.1333,2135,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64TFC,17274,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,ETH,"Arsi, Oromia Administrative State, Arsi Zone, Simba; near Asella",7.95,39.1333,2135,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64TPK,17281,Barley,ETH64,C-135;IMCOAG-ETH;UREADING;USAIDAA,;ETH026;GBR071;USA328,;Addis Ababa   ETH,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,ETH,"Shewa, Oromia Administrative State, West Shewa Zone, 25 km NE of Holetta; near Arb Gebaya",9.18333,38.1167,2410,12/1/1964,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64VRG,17315,Barley,NULL,NULL,NULL,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,UKR,"Odessa, Odessa Region, , ",46.4833,30.7,NULL,4/14/1905,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64WSC,17348,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Toplicki District, Blace Municpal, Dragulje-Blace",43.3,21.3,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64WTD,17349,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Sumadijski District, Topola Municpal, Maslosevo; Stargari",44.1667,20.6667,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64WVE,17350,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Sumadijski District, Topola Municpal, Maslosevo; Stargari",44.1667,20.6667,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64WWF,17351,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Moravicki District, Gornji Milanovac Municpal, Belo Polje-Gornji Milanovac",44.0333,20.45,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64WYH,17353,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MKD,"Macedonia, Novatsi Municipality, , Paralov-Bistrica",41.0333,21.5667,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64X0K,17355,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Toplicki District, Prokuplje Municpal, Jugbogdanovac; Prokuplje",43.25,21.5833,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64X1M,17356,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Nisavski District, Merosina Municpal, Marasina-Dobric",43.25,21.7333,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64X2N,17357,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,XKX,"Serbia, Kosovsko-Mitrovacki District, Leposavic Municpal, Leposavic-Rasca",43.1833,20.7333,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64X7T,17362,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MKD,"Macedonia, Gostivar Municipality, , Brutoc-Gostivar",41.8,20.9,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64X9W,17364,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Pirotski District, Bela Palanka Municpal, Camenica; Bela Palanca",43.2167,22.3333,NULL,3/1/1969,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64XAX,17365,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,MKD,"Macedonia, Veles Municipality, , Novocani-T. Veles",41.7667,21.75,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64XF$,17370,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MKD,"Macedonia, Karpos Municipality, , Przar-S. Kotlina",42,21.4,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64XK1,17374,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Zlatiborski District, Prijepolje Municpal, Bjelo Babe-Prijepolje",43.4,19.65,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64XT8,17381,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Zlatiborski District, Prijepolje Municpal, Milosev do Zlatibor",43.3833,19.7,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y1F,17388,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,SRB,"Serbia, Pcinjski District, Surdulica Municpal, Zelari-Vlasina",42.7333,22.3,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y2G,17389,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,SRB,"Serbia, Jablanicki District, Crna Trava Municpal, Gradsko-Vlasina",42.8833,22.4,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y3H,17390,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Pcinjski District, Surdulica Municpal, Ocruglice",42.7167,22.3,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y5K,17392,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Zlatiborski District, Prijepolje Municpal, Bjelo Babe-Prijepolje",43.4,19.65,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y6M,17393,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Jablanicki District, Crna Trava Municpal, Gradsko-Vlasina",42.8833,22.4,NULL,3/1/1969,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64Y7N,17394,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,SRB,"Serbia, Pcinjski District, Surdulica Municpal, Put za Vlasinu",42.75,22.3333,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y8P,17395,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MNE,"Montenegro, Herceg Novi Municipality, , Kameno; Herceg Novi",42.45,18.5333,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Y9Q,17396,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MNE,"Montenegro, Herceg Novi Municipality, , Crusevica-H. Novi",42.5367,18.4928,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YAR,17397,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,MNE,"Montenegro, Herceg Novi Municipality, , Crusevica-H. Novi",42.5367,18.4928,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YBS,17398,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MNE,"Montenegro, Podgorica Municipality, , Tula-Aubci",42.5,19.3,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YCT,17399,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,BIH,"Bosnia and Hercegovina, Repuplika Srpska Entity, Serbian Republic, Zubci",42.6667,18.3833,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YDV,17400,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,BIH,"Bosnia-Herzegovina, Repuplika Srpska Entity, Serbian Republic, Fatnica",43.0333,18.3333,NULL,3/1/1969,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
10.18730/64YEW,17401,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,MNE,"Montenegro, Podgorica Municipality, , Domanovici",42.5,19.3,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YFX,17402,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. vulgare,,1977,BIH,"Bosnia-Herzegovina, Federacija Bosna i Hercegovina Entity, Herzegovina-Neretva Canton, Capljina",43.1167,17.6833,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64YZ8,17418,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,BIH,"Bosnia-Herzegovina, Repuplika Srpska Entity, Serbian Republic, Ponicve Cajnice",43.55,19.0667,NULL,3/1/1969,,300,NULL,NULL,USDA,INRA-MAR;SGSV,1
10.18730/64Z09,17419,Barley,NULL,ISG,YUG009,,Hordeum,vulgare,L.,subsp. vulgare convar. distichon,(L.) Alef.,1977,BIH,"Bosnia-Herzegovina, Repuplika Srpska Entity, Serbian Republic, Metaljke",43.5333,19.1333,NULL,3/1/1969,,300,NULL,NULL,USDA,GRS-LBN;INRA-MAR;SGSV,1
