Row.names	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	Country
ICARDA_G0121	2	1	2	4	6	2	4	8	6	11	7	Australia
ICARDA_G0126	1	2	4	3	2	3	8	3	5	1	1	Canada
ICARDA_G0129	1	2	1	5	4	1	1	9	9	8	1	United States
ICARDA_G0130	1	2	4	3	2	3	8	3	5	1	1	India
ICARDA_G0131	2	1	2	2	1	6	4	7	1	6	3	United Kingdom
ICARDA_G0134	2	1	2	4	6	7	7	1	7	4	5	Argentina
ICARDA_G0138	1	2	1	5	5	4	5	5	2	7	2	Australia
ICARDA_G0140	1	2	1	5	5	4	5	5	2	7	8	Turkey
ICARDA_G0142	1	2	1	5	5	4	5	5	2	7	8	Mexico
ICARDA_G0146	1	2	1	5	5	4	5	5	2	7	8	Germany
ICARDA_G0147	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0148	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0152	1	2	1	5	4	1	1	9	9	5	12	France
ICARDA_G0154	1	2	1	5	4	1	1	9	9	8	4	Iran
ICARDA_G0158	1	2	2	2	5	4	5	5	4	3	11	Germany
ICARDA_G0163	2	1	2	2	1	6	3	6	10	2	9	Argentina
ICARDA_G0164	2	1	2	2	1	6	3	6	10	10	9	China
ICARDA_G0172	1	2	1	5	5	4	6	4	3	5	6	United States
ICARDA_G0180	1	2	1	5	5	4	6	4	3	5	6	Iran
ICARDA_G0181	1	2	1	5	5	4	6	4	3	5	6	Canada
ICARDA_G0183	1	3	3	1	3	5	2	2	8	9	10	China
ICARDA_G0184	2	1	2	2	1	6	3	6	10	2	9	Russia
ICARDA_G0192	1	2	1	5	5	4	6	4	3	5	6	United Kingdom
ICARDA_G0194	1	2	1	5	5	4	5	5	2	7	2	Brazil
ICARDA_G0195	1	2	1	5	4	1	1	9	9	8	4	Iran
ICARDA_G0198	1	2	1	5	4	1	1	9	9	8	4	United Kingdom
ICARDA_G0202	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0203	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0204	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0205	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0206	1	3	3	1	3	5	2	2	8	9	10	Mexico
ICARDA_G0216	1	3	3	1	3	5	2	2	8	9	10	United Kingdom
ICARDA_G0219	1	3	3	1	3	5	2	2	8	9	10	United States
ICARDA_G0221	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0224	1	3	3	1	3	5	2	2	8	9	10	Russia
ICARDA_G0225	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0230	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0231	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0232	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0233	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0234	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0236	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0237	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0238	1	3	3	1	3	5	2	2	8	9	10	Turkey
ICARDA_G0239	1	3	3	1	3	5	2	2	8	9	10	Russia
ICARDA_G0240	1	3	3	1	3	5	2	2	8	9	10	United States
ICARDA_G0244	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0246	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0248	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0249	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0252	1	3	3	1	3	5	2	2	8	9	10	Argentina
ICARDA_G0256	1	3	3	1	3	5	2	2	8	9	10	United States
ICARDA_G0260	1	3	3	1	3	5	2	2	8	9	10	Iran
ICARDA_G0261	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0262	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0263	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0265	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0267	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0270	1	3	3	1	3	5	2	2	8	9	10	India
ICARDA_G0273	1	3	3	1	3	5	2	2	8	9	10	Mexico
ICARDA_G0276	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0279	1	2	4	3	2	3	8	3	5	1	1	China
ICARDA_G0282	1	3	3	1	3	5	2	2	8	9	10	United Kingdom
ICARDA_G0283	1	3	3	1	3	5	2	2	8	9	10	Canada
ICARDA_G0284	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0286	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0287	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0293	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0295	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0298	1	3	3	1	3	5	2	2	8	9	10	Brazil
ICARDA_G0299	1	2	4	3	2	3	8	3	5	1	1	United Kingdom
ICARDA_G0301	1	3	3	1	3	5	2	2	8	9	10	Brazil
ICARDA_G0302	1	3	3	1	3	5	2	2	8	9	10	Turkey
ICARDA_G0304	1	3	3	1	3	5	2	2	8	9	10	South Africa
ICARDA_G0308	1	3	3	1	3	5	2	2	8	9	10	France
ICARDA_G0311	1	2	1	5	4	1	1	9	9	8	4	Russia
ICARDA_G0312	1	2	1	5	4	1	1	9	9	8	4	South Africa
ICARDA_G0313	1	2	1	5	4	1	1	9	9	8	4	Argentina
ICARDA_G0314	1	2	4	3	2	3	8	3	5	1	1	Canada
ICARDA_G0315	1	2	1	5	5	4	6	4	3	5	6	United States
ICARDA_G0317	1	2	1	5	4	1	1	9	9	8	4	United Kingdom
ICARDA_G0320	1	2	1	5	4	1	6	9	9	8	6	Egypt
ICARDA_G0321	1	2	1	5	4	1	1	9	9	8	4	South Africa
ICARDA_G0322	1	2	1	5	4	1	1	9	9	8	4	India
ICARDA_G0323	1	2	1	5	4	1	1	9	9	8	4	Argentina
ICARDA_G0324	1	2	1	5	4	1	1	9	9	8	4	Canada
ICARDA_G0325	1	2	1	5	4	1	1	9	9	8	4	United States
ICARDA_G0327	1	2	1	5	4	1	1	9	9	8	4	Argentina
ICARDA_G0328	1	2	1	5	4	1	1	9	9	8	4	India
ICARDA_G0329	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0331	1	2	4	3	2	3	8	3	5	1	1	Iran
ICARDA_G0333	2	1	2	4	6	2	4	8	6	11	7	Russia
ICARDA_G0334	2	1	2	4	6	2	4	8	6	11	7	Australia
ICARDA_G0336	2	1	2	2	1	6	3	6	10	2	9	France
ICARDA_G0337	1	2	1	5	2	3	8	3	5	5	1	Russia
ICARDA_G0340	2	1	2	4	6	2	4	8	6	11	7	Argentina
ICARDA_G0341	2	1	2	4	6	2	4	8	6	11	7	Argentina
ICARDA_G0342	1	2	1	5	4	1	1	9	9	8	12	Australia
ICARDA_G0345	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0355	2	1	2	2	1	6	3	6	10	2	9	United Kingdom
ICARDA_G0356	2	1	2	2	1	6	3	6	10	2	9	United Kingdom
ICARDA_G0359	2	1	2	4	6	7	7	1	7	4	5	Canada
ICARDA_G0360	2	1	2	4	6	7	7	1	7	4	5	Germany
ICARDA_G0361	2	1	2	4	1	6	7	6	10	2	9	Iran
ICARDA_G0364	1	2	1	5	5	4	6	4	3	5	6	Canada
ICARDA_G0365	2	1	2	2	1	6	3	6	10	2	9	Egypt
ICARDA_G0366	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0370	1	2	4	3	2	3	8	3	5	1	1	Argentina
ICARDA_G0371	2	1	2	2	1	6	3	6	10	2	9	Egypt
ICARDA_G0373	1	2	4	5	2	3	8	3	5	1	1	Egypt
ICARDA_G0375	1	2	1	5	5	4	6	4	3	5	6	France
ICARDA_G0383	1	2	1	5	4	1	1	9	9	8	12	Russia
ICARDA_G0385	1	2	4	3	2	3	8	3	5	1	1	Mexico
ICARDA_G0387	1	2	1	5	4	1	1	9	9	8	12	Canada
ICARDA_G0388	1	2	1	5	5	4	6	4	3	5	6	Russia
ICARDA_G0392	2	1	2	4	6	2	4	8	6	11	7	Canada
ICARDA_G0393	1	2	1	5	5	4	6	4	3	5	6	France
ICARDA_G0394	1	2	1	5	5	4	5	5	2	7	11	Germany
ICARDA_G0396	1	2	4	3	2	3	8	3	5	1	1	South Africa
ICARDA_G0398	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0400	1	2	1	5	4	1	1	9	9	8	12	Argentina
ICARDA_G0401	2	1	2	2	1	6	3	6	10	2	9	Canada
ICARDA_G0403	1	2	1	5	4	1	6	4	3	5	12	Canada
ICARDA_G0404	2	1	2	2	1	6	3	6	10	2	9	Brazil
ICARDA_G0405	1	2	1	5	5	4	6	4	3	5	6	Australia
ICARDA_G0406	2	1	2	2	1	6	3	6	10	2	9	China
ICARDA_G0407	2	1	2	2	1	6	3	6	10	2	9	Canada
ICARDA_G0411	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0412	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0413	1	2	1	5	4	1	8	3	5	1	12	Turkey
ICARDA_G0418	2	1	2	4	6	7	7	1	7	4	5	United Kingdom
ICARDA_G0426	2	1	2	4	6	7	7	1	7	4	5	France
ICARDA_G0427	2	1	2	4	6	7	7	1	7	4	5	China
ICARDA_G0428	2	1	2	4	6	7	7	1	7	4	5	Germany
ICARDA_G0430	1	2	4	3	2	3	8	3	5	1	1	Argentina
ICARDA_G0433	1	2	4	3	2	3	8	3	5	1	1	United Kingdom
ICARDA_G0434	1	2	4	3	2	3	8	3	5	1	1	South Africa
ICARDA_G0435	2	1	2	4	6	7	7	1	7	4	5	Egypt
ICARDA_G0436	1	2	2	5	5	3	8	8	9	1	1	South Africa
ICARDA_G0438	1	2	4	3	2	3	5	5	5	1	1	Mexico
ICARDA_G0441	1	2	4	3	2	3	8	3	5	1	1	Argentina
ICARDA_G0445	1	2	4	3	2	3	8	3	5	1	1	Turkey
ICARDA_G0446	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0447	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0450	1	2	1	5	5	4	5	5	2	7	2	Canada
ICARDA_G0451	1	2	1	5	4	1	1	9	9	8	4	Turkey
ICARDA_G0454	1	2	1	5	4	1	1	9	9	8	12	Germany
ICARDA_G0455	2	1	2	2	1	6	3	6	10	2	9	South Africa
ICARDA_G0457	2	1	2	2	1	6	3	6	10	2	9	Mexico
ICARDA_G0460	2	1	2	2	1	6	3	6	10	2	9	South Africa
ICARDA_G0461	2	1	2	2	1	6	3	6	10	10	9	Turkey
ICARDA_G0463	2	1	2	2	5	4	5	5	4	3	11	Germany
ICARDA_G0465	2	1	2	2	5	4	5	5	4	3	11	Mexico
ICARDA_G0466	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0467	1	2	4	3	2	3	8	3	5	1	1	United States
ICARDA_G0471	1	2	4	3	2	3	8	3	5	1	1	China
ICARDA_G0473	1	2	1	5	5	4	6	4	3	5	6	Argentina
ICARDA_G0475	2	1	2	2	1	6	3	6	10	2	9	Turkey
ICARDA_G0476	2	1	2	2	1	6	3	6	10	2	9	India
ICARDA_G0477	2	1	2	2	1	6	3	6	10	2	9	India
ICARDA_G0480	2	1	2	2	1	6	3	6	10	2	9	Country
ICARDA_G0483	2	1	2	2	1	6	3	6	10	2	9	United Kingdom
ICARDA_G0489	1	2	1	5	4	1	1	9	9	8	12	Iran
ICARDA_G0491	2	1	2	2	1	2	4	8	6	10	7	Canada
ICARDA_G0492	1	2	1	5	5	4	6	4	3	5	6	China
ICARDA_G0493	1	2	1	5	4	1	1	9	9	8	12	China
ICARDA_G0495	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0497	1	2	1	5	4	1	1	9	9	8	12	Mexico
ICARDA_G0500	1	2	1	5	4	1	1	9	9	8	12	United States
ICARDA_G0501	1	2	1	5	4	1	1	9	9	8	12	Mexico
ICARDA_G0502	2	1	2	2	1	6	3	6	10	2	9	Iran
ICARDA_G0503	2	1	2	2	1	6	3	6	10	2	9	China
ICARDA_G0509	2	1	2	2	1	2	4	7	1	6	3	Egypt
ICARDA_G0513	2	1	2	2	1	6	3	6	10	2	9	United Kingdom
ICARDA_G0518	2	1	2	2	1	6	3	6	10	2	9	France
ICARDA_G0520	1	2	1	5	4	1	1	9	9	8	12	United States
ICARDA_G0521	2	1	2	2	1	6	3	6	10	2	9	China
ICARDA_G0522	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0523	2	1	2	2	5	4	5	5	4	10	11	Mexico
ICARDA_G0524	1	2	1	5	5	4	6	4	3	5	6	Australia
ICARDA_G0528	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0529	1	3	3	1	3	5	2	2	8	9	10	Egypt
ICARDA_G0532	2	1	2	2	1	6	3	6	10	2	9	Canada
ICARDA_G0536	2	1	2	2	1	6	3	6	10	2	9	Brazil
ICARDA_G0540	1	2	1	5	4	1	1	9	9	8	12	Canada
ICARDA_G0545	1	2	1	5	4	1	1	9	9	8	12	Argentina
ICARDA_G0547	1	2	1	5	5	4	6	4	3	5	6	Egypt
ICARDA_G0548	1	2	1	5	5	4	5	5	2	7	2	Egypt
ICARDA_G0556	1	2	1	5	4	1	1	9	9	8	4	Turkey
ICARDA_G0557	1	2	1	5	5	4	5	5	2	7	8	United States
ICARDA_G0562	1	2	1	5	5	4	6	4	3	5	6	Germany
ICARDA_G0563	1	2	1	5	5	4	6	4	3	5	6	Iran
ICARDA_G0565	1	2	1	5	5	4	5	5	2	7	8	Egypt
ICARDA_G0566	1	2	1	5	5	4	5	5	2	7	2	Mexico
ICARDA_G0567	1	2	1	5	5	4	6	4	3	5	6	India
ICARDA_G0568	2	1	2	2	5	4	5	5	4	10	11	Egypt
ICARDA_G0569	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0571	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0572	1	3	3	1	3	5	2	2	8	9	10	Germany
ICARDA_G0578	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0579	1	2	4	3	2	3	8	3	5	1	1	South Africa
ICARDA_G0580	1	2	1	5	5	4	6	4	3	5	6	Russia
ICARDA_G0581	1	2	4	3	2	3	8	3	5	1	1	Brazil
ICARDA_G0583	1	2	1	5	4	1	1	9	9	8	4	Iran
ICARDA_G0586	1	2	4	3	2	3	8	3	5	1	1	Turkey
ICARDA_G0591	1	2	1	5	5	4	5	5	2	7	8	Egypt
ICARDA_G0597	1	2	1	5	5	4	5	5	2	7	8	Australia
ICARDA_G0598	1	2	1	5	5	4	5	5	9	8	1	United States
ICARDA_G0599	1	2	4	3	2	3	8	3	5	1	1	United States
ICARDA_G0600	2	1	2	2	1	6	3	6	10	2	9	France
ICARDA_G0601	1	2	1	5	4	1	1	9	9	8	4	Australia
ICARDA_G0603	1	2	1	5	5	4	5	5	2	7	11	India
ICARDA_G0607	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0621	2	1	2	2	1	6	3	6	10	2	9	Canada
ICARDA_G0622	1	2	1	5	5	4	6	4	3	5	6	South Africa
ICARDA_G0625	1	3	3	1	3	5	2	2	8	9	10	India
ICARDA_G0627	1	3	3	1	3	5	2	2	8	9	10	Australia
ICARDA_G0628	1	2	4	3	2	3	8	3	5	1	1	Canada
ICARDA_G0629	1	2	1	5	4	1	1	9	9	8	12	Turkey
ICARDA_G0631	1	2	1	5	5	4	6	4	3	5	6	Turkey
ICARDA_G0634	1	2	1	5	5	4	6	4	3	5	6	China
ICARDA_G0636	1	2	1	5	4	1	1	9	9	8	12	Australia
ICARDA_G0643	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0646	2	1	2	2	1	6	3	6	10	2	9	United Kingdom
ICARDA_G0649	2	1	2	2	5	4	5	5	4	3	11	Turkey
ICARDA_G0650	2	1	2	2	1	6	3	6	10	10	9	Argentina
ICARDA_G0651	2	1	2	4	6	7	7	1	4	10	11	Canada
ICARDA_G0653	2	1	2	4	6	7	7	1	4	10	11	Australia
ICARDA_G0654	2	1	2	4	6	6	3	6	4	10	11	Canada
ICARDA_G0659	2	1	2	2	5	4	5	5	4	3	11	Australia
ICARDA_G0660	2	1	2	4	6	7	7	1	4	10	11	Australia
ICARDA_G0661	2	1	2	4	6	2	4	8	4	10	11	United States
ICARDA_G0663	1	2	1	5	5	4	5	5	4	3	11	Canada
ICARDA_G0664	2	1	2	2	1	6	3	6	4	10	11	Australia
ICARDA_G0665	1	2	2	5	5	4	5	5	4	3	11	Egypt
ICARDA_G0669	1	2	1	5	5	4	5	5	2	7	8	Egypt
ICARDA_G0670	1	2	1	5	5	4	5	7	1	6	3	United Kingdom
ICARDA_G0678	2	1	2	2	1	6	3	6	4	10	11	Russia
ICARDA_G0680	2	1	2	2	1	6	5	5	4	10	11	Canada
ICARDA_G0681	2	1	2	2	5	4	5	5	4	3	11	India
ICARDA_G0687	2	1	2	2	1	6	3	6	4	10	11	Canada
ICARDA_G0689	1	2	1	5	4	1	1	9	9	8	4	United States
ICARDA_G0692	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0693	2	1	2	4	6	7	7	1	4	10	11	France
ICARDA_G0696	2	1	2	2	1	6	3	6	4	10	11	Brazil
ICARDA_G0697	2	1	2	4	6	7	7	1	4	10	11	Mexico
ICARDA_G0698	2	1	2	4	6	7	7	1	4	10	11	Australia
ICARDA_G0700	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0703	1	2	1	5	4	1	1	9	9	8	4	India
ICARDA_G0706	2	1	2	2	1	6	3	6	10	2	9	China
ICARDA_G0707	1	2	1	5	4	1	1	9	9	8	4	France
ICARDA_G0712	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0717	1	2	1	5	5	4	5	5	2	7	2	Egypt
ICARDA_G0720	2	1	2	2	1	6	3	6	10	2	9	China
ICARDA_G0722	2	1	2	2	1	6	3	6	10	2	9	Iran
ICARDA_G0730	2	1	2	2	1	6	3	6	10	2	9	Australia
ICARDA_G0731	2	1	2	2	1	6	3	6	10	2	9	Turkey
ICARDA_G0732	1	2	1	5	5	4	6	4	3	5	6	Canada
ICARDA_G0736	2	1	2	2	1	6	3	6	10	2	9	Brazil
ICARDA_G0738	1	2	4	3	2	3	8	3	5	1	1	India
ICARDA_G0742	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0744	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0745	1	2	4	3	2	3	8	3	5	1	1	Mexico
ICARDA_G0747	1	2	4	3	2	3	8	3	5	1	1	Egypt
ICARDA_G0749	2	1	2	4	6	7	7	1	4	10	11	South Africa
ICARDA_G0751	2	1	2	4	6	7	7	1	4	10	11	Brazil
ICARDA_G0752	2	1	2	4	6	7	7	1	7	4	5	Canada
ICARDA_G0753	2	1	2	4	6	7	7	1	7	4	5	Canada
ICARDA_G0754	2	1	2	4	6	7	7	1	7	4	5	Australia
ICARDA_G0755	1	2	1	5	5	4	5	5	2	7	8	Turkey
ICARDA_G0756	2	1	2	4	6	7	7	1	7	4	5	Australia
ICARDA_G0762	1	2	1	5	4	1	1	9	9	8	1	Canada
ICARDA_G0766	2	1	2	4	6	7	7	1	7	4	5	Canada
ICARDA_G0767	2	1	2	4	6	7	7	1	7	4	5	Iran
ICARDA_G0774	2	1	2	4	6	7	7	1	7	4	5	Canada
ICARDA_G0775	2	1	2	4	6	2	4	8	6	11	7	Argentina
ICARDA_G0776	2	1	2	4	6	7	7	1	7	4	5	Mexico
ICARDA_G0777	2	1	2	4	6	7	7	1	7	4	5	United States
ICARDA_G0778	1	2	1	5	4	1	1	9	9	8	4	Brazil
ICARDA_G0788	1	2	1	5	4	1	1	9	9	8	4	Brazil
ICARDA_G0797	1	2	4	3	2	3	8	3	5	1	1	United States
ICARDA_G0800	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0801	1	2	1	5	5	4	5	5	2	7	8	China
ICARDA_G0804	1	2	4	3	2	3	8	3	5	1	1	Mexico
ICARDA_G0823	1	2	1	5	4	1	1	9	9	8	4	Russia
ICARDA_G0825	1	2	1	5	4	1	1	9	9	8	4	Turkey
ICARDA_G0845	1	2	1	5	5	4	5	5	2	7	8	France
ICARDA_G0847	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0848	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0854	1	2	1	5	5	4	5	5	2	7	8	United Kingdom
ICARDA_G0855	1	2	1	5	5	4	5	5	2	7	8	Iran
ICARDA_G0858	1	2	1	5	5	4	5	5	2	7	8	Iran
ICARDA_G0861	1	2	1	5	4	1	1	9	9	8	4	Turkey
ICARDA_G0865	1	2	1	5	5	4	5	5	2	7	8	United Kingdom
ICARDA_G0876	1	2	1	5	4	1	1	9	9	8	4	Argentina
ICARDA_G0880	1	2	1	5	5	4	5	5	2	7	2	Argentina
ICARDA_G0881	1	2	1	5	5	4	5	5	2	7	2	India
ICARDA_G0882	2	1	2	2	5	4	5	5	4	10	11	Iran
ICARDA_G0885	1	2	1	5	5	4	5	5	2	7	8	Canada
ICARDA_G0887	1	2	1	5	5	4	5	5	2	7	8	Canada
ICARDA_G0888	1	2	1	5	5	4	5	5	2	7	8	Iran
ICARDA_G0890	1	2	1	5	5	4	5	5	2	7	11	Canada
ICARDA_G0891	1	2	1	5	4	1	1	9	9	8	4	Canada
ICARDA_G0893	1	2	1	5	4	1	1	9	9	8	4	United States
ICARDA_G0894	1	2	1	5	4	1	1	9	9	8	4	United States
ICARDA_G0898	1	2	1	5	4	1	1	9	9	8	4	Germany
ICARDA_G0901	2	1	2	2	1	6	3	6	10	2	9	Germany
ICARDA_G0905	2	1	2	2	1	2	4	7	1	6	3	Canada
ICARDA_G0906	1	2	4	3	2	3	8	3	5	1	1	Russia
ICARDA_G0909	1	2	1	5	4	1	1	9	9	8	12	China
ICARDA_G0914	1	2	1	5	5	4	5	7	1	6	3	Germany
ICARDA_G0915	1	2	1	5	5	4	5	7	1	6	3	China
ICARDA_G0916	1	2	4	3	2	3	8	3	5	1	1	Germany
ICARDA_G0918	1	2	4	3	2	3	8	3	5	1	1	Australia
ICARDA_G0919	2	1	2	5	6	2	4	8	6	11	7	United States
ICARDA_G0920	1	2	1	5	4	1	6	4	3	5	6	France
ICARDA_G0921	1	2	4	3	2	3	8	3	5	1	1	China
ICARDA_G0926	1	2	1	5	5	4	5	5	2	7	2	United States
ICARDA_G0929	1	2	1	5	5	4	5	7	1	6	3	Argentina
ICARDA_G0931	1	2	1	5	5	4	5	5	2	7	11	United States
ICARDA_G0933	1	2	1	3	5	4	5	5	4	7	11	Australia
ICARDA_G0936	1	2	4	3	2	3	8	3	5	1	1	China
ICARDA_G0941	1	2	4	3	2	3	8	3	5	1	1	Turkey
ICARDA_G0942	1	2	4	3	2	3	8	3	5	1	1	Mexico
ICARDA_G0944	1	2	4	3	2	3	8	3	5	1	1	United Kingdom
ICARDA_G0947	1	2	4	3	2	3	8	3	5	1	1	France
ICARDA_G0948	1	2	4	3	2	3	8	3	5	1	1	India
ICARDA_G0955	1	2	4	3	2	3	8	3	5	1	1	Mexico
ICARDA_G0964	1	2	4	3	5	4	5	5	4	7	11	United States
ICARDA_G0965	1	2	4	3	2	3	8	3	5	1	1	Turkey
ICARDA_G0966	1	2	4	5	5	4	5	5	4	7	11	Iran
ICARDA_G0967	1	2	1	5	5	4	5	5	2	7	11	France
ICARDA_G0971	2	1	2	4	6	2	4	8	6	11	7	Australia
ICARDA_G0974	2	1	2	4	6	2	4	8	6	11	7	Argentina
ICARDA_G0975	2	1	2	4	6	2	4	8	6	11	7	Iran
ICARDA_G0976	2	1	2	4	6	2	4	8	6	11	7	Russia
ICARDA_G0977	2	1	2	4	6	2	4	8	6	11	7	India
ICARDA_G0978	2	1	2	4	6	2	4	8	6	11	7	Iran
ICARDA_G0980	2	1	2	4	6	2	4	8	6	11	7	Brazil
ICARDA_G0982	1	2	1	5	5	4	5	5	2	7	2	Germany
ICARDA_G0984	1	2	1	5	5	4	5	5	2	7	2	France
ICARDA_G0985	2	1	2	2	5	4	5	5	2	7	2	United Kingdom
